Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Return on Equity","5Y Avg Net Profit Margin","Return on Investment","5Y Avg Return on Equity","Return on Assets","5Y Avg Return on Assets","Net Profit Margin","ROCE","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Forward EPS Growth","PB Premium vs Sector","PB Ratio","PS Premium vs Sector","PS Ratio","EV/EBITDA Ratio","Forward PE Ratio","Price / Free Cash Flow","Enterprise Value","Price / CFO","Price / Sales","Sector PE","Current Ratio","Long Term Debt to Equity","Debt to Equity","Inventory Turnover Ratio","Asset Turnover Ratio","Investing Cash Flow","Total Current Assets","Total Debt","Total Equity","Free Cash Flow","Book Value","EBITDA","Payout Ratio","Earnings Per Share","PBIT","Total Revenue","EPS (Q)","EBITDA (Q)"
Life Insurance Corporation Of India,LICI,"Insurance","496069.56968943","784.3","12.124141859192227","63.31293790764639","2.1397977328071187","49.35590762802231","115.56795732654723","0.8270390790101415","0.3807190408767106","4.753262806361692","0.8951120156999925","4.27569499326686","4.1160000000000005","2.1810432920372507","143.69589865726823","5.983980256713327","-72.18284117151502","0.5762923255835132","9.570404513474665","11.86535552193646","19.56582462681964","454397.82968942996","18.990744064384522","0.5762923255835132","17.62347512832906","3.089573975883369","0","0",,"0.173993972709282","-25268.76","197099.31","0","82899.59999999999","25353.88","82899.59999999964","47479.47999999998","0.15458554204544214","64.68910266563213","47013.53999999998","860795.03","17.4","12213.040000000008"
Larsen and Toubro Ltd,LT,"Construction & Engineering","447982.5996704","3257.6","34.30422131909445","12.671558001460156","6.225633683327308","10.31255362726359","11.87885194558682","3.9051457973857677","3.3822424938862974","5.7941247120820405","18.480366647449426","14.840573637030051","19.691","15.114816108947933","-28.11940246988236","4.368445489437996","-44.18559368521603","1.9876293647369674","15.726902977057453","30.030013420215354","32.58114508775796","530179.2196704","24.525114017216428","1.9876293647369674","41.78192531806184","1.2291824048518938","0.5679370365538023","1.1343013716476484","11.576609956004067","0.6739837320454405","2178.89","217074.51","116322.22","102549.66","13749.75","102549.65999999997","33711.610000000015","0.3619125939899422","93.94533532299482","30029.280000000013","225385.38","24.43","8866.029999999992"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","421543.03897586","2120.2","23.144906305690203","15.034466072732451","19.319321742183206",,"13.883883495178448","2.6233257478664327","2.3505787785853363","19.31945964689489","7.3961770775843","-57.70436380542612",,"-10.53000724199635","32.08430771145803","3.243345062112063","115.83423701065509","4.471470834039449","14.452839996214172","25.85609756097561","28.95549270319563","356336.64897586","26.87555237334141","4.471470834039449","17.62347512832906",,"0.5778613019496784","0",,"0.13578670396654005","-8919.06","65206.39000000001",,"129971.69","14558.31","129971.69000000006","24655.130000000005","0.021821949453171622","91.65084009986643","23863.380000000005","94273.91","23.64","6180.080000000002"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","409086.612385","1705","42.718293591628566","15.14993026499303","13.232142196918815","13.945581420990502","10.185291133009505","11.536436755826355","7.501728214434611","19.19607786931991","16.57741307782545","5.711348228412242","10.537","23.269210833321146","-2.491287493700347","6.096128442596091","34.511848051643135","8.200236902293716","28.57410375171072","34.65447154471544","41.18389319673377","396694.2823849999","33.711354479776645","8.200236902293716","49.044711930042666","2.5573303218307837","0.004524485675417551","0.04878358810698959","1.0922991324417335","0.6009788475730472","-762.9","43433.11000000001","3273.67","67105.97","9933.17","67105.97","13883","0.3382386882621617","39.91264296039498","11326.36","49887.17","12.1","4158.469999999999"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","386619.91692885","1426.5","24.622335812562095","23.493854221996123","14.845243433012204","21.957611206419106","22.543559597691598","16.3344707057257","15.386804094900347","14.094140456699698","28.21185107498689","5.12934439178515","6.353000000000001","10.606652747420695","-26.08460701361688","5.663018220457442","-9.320276227387017","3.4703065931427726","14.213712564856186","22.2890625","18.066351258357475","365192.91692885","17.22291148114977","3.4703065931427726","27.458074989494207","2.6107101997711872","0.06682193024856821","0.08434034948953435","10.23728813559322","1.1589547270306257","-6608","59331","5758","68271","21400","68271","25693","0.8986790535727931","57.86270392446394","21520","111408","16.94","7337"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","372724.251477","11855","27.63335741440662","16.8353967455544","6.702119008786963","15.954596021671161","11.424191524274244","12.52327537102487","8.53852325866595","9.225489002488288","19.717567426915725","4.1713184771055385","2.697","5.602165289438006","-30.36138736415523","4.3524248152295755","17.145069853494977","2.5493123492843646","16.005283378741698","25.654620212075308","49.03492231187182","366103.251477","22.18451479230527","2.5493123492843646","36.517693012135595","0.8721475966984947","0.0007905553739081692","0.0013849315708346953","18.79885890573892","1.357464668555467","-11864.8","22633.8","118.6","85636.00000000001","7601.199999999999","85636.00000000001","22873.90000000002","0.2856583133776185","437.5857244342108","17618.10000000002","146205.80000000002","118.54","6201.299999999996"
NTPC Ltd,NTPC,"Power Generation","351504.1473575","362.5","16.889583183338942","13.168919237436327","11.02508833220512","8.231729433342569","11.742079635439694","4.4927447520208","3.8972504048625085","11.317465559501056","10.625272563488329","-3.8328464799869573","2.616","-2.6228169567492867","-32.40060036695276","2.128750568109282","-31.612740103631545","1.9114727599176666","10.347649796348502","17.344497607655505","35.260887095018695","586150.7973575001","8.618552922991258","1.9114727599176666","22.73527808755144","0.8442172292867121","1.1630944049464431","1.4360931789459301","6.837967084127475","0.39697445761159167","-32141.37","83286.58","237130.98","165122.28000000003","9968.669999999998","165122.28000000003","56645.79000000001","0.36108764047138425","21.46293345815634","40442.16000000001","183891.79","5.22","14326.650000000001"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","344693.3927553","11719","49.206765561070576","12.218351091222614","11.372063091015425","11.122058488942892","13.268363652525972","7.290135042336652","7.141875881725937","9.790753224099944","14.061521575993897","3.001956927674218","21.074","-8.63417175374748","72.68856184095773","5.717880517649794","132.80574484357075","4.8177129856458185","25.84934104898073","52.859720342805595","182.18948320795997","349884.2727553","31.630385642567035","4.8177129856458185","29.1167129459607","0.8601614660840944","0.10367510668770949","0.18915565838832635","4.051728165112501","0.7445938913455586","-8788.68","23143.47","11402.95","60283.420000000006","1891.9500000000007","60283.420000000006","13535.520000000013","0.2884802876516769","242.65089503973635","10390.220000000012","71547.1","50.99","3130.119999999999"
Axis Bank Ltd,AXISBANK,"Private Banks","344681.4862712","1112.8","13.062945261962675","18.34298083205708","11.45726619923782",,"9.942664235926706","1.842765542284529","0.9876881974431925","19.121909109513975","7.785822207657965","-42.30629628472805",,"-1.8942703936149743","-10.88882685503453","2.1881348996438366","20.57084112338617","2.497884520018065","6.254030230741499","13.247619047619047",,"228687.7462712",,"2.497884520018065","17.62347512832906",,"1.4486748471460922","0",,"0.09636932859217878","-9001.33","116493.18",,"157522.96","-7940.08","157522.95999999996","36566.460000000036","0.011679253524569645","85.62191050106927","35178.00000000004","137989.36000000002","21.79","9006.759999999998"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","317302.8451614","2646","28.158042599763633","15.371933137252714","5.111664986751403","10.07584528702421","9.631731420563991","5.133719814998856","3.133187780660736","7.914698054701859","14.742163851367367","-19.326288706280234","-35.793","3.7541278253632866","-36.16542467261635","3.98967152285767","2.4089182615525515","2.228624049885613","14.530080233382462","26.03942936450507",,"409599.76516139996",,"2.228624049885613","36.517693012135595","1.3007451785774562","0.8868686162527424","1.340677549038382","4.842529814836548","0.6486311643877664","-5614.77","98265.64000000001","106625.52","79531.07","-15575.939999999999","79531.07","28189.77999999998","0.21653927765728642","97.44190628267758","23465.99999999998","142376.12","28.51","8949.32"
